Record,Date,UTC Time,Alarms
84,7/8/2023,7:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
85,7/9/2023,8:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
86,7/10/2023,9:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
87,7/10/2023,10:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
88,7/10/2023,11:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
89,7/10/2023,12:43:54,Pump P-903 ON
90,7/10/2023,13:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
91,7/15/2023,14:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
92,7/16/2023,15:43:54,Pump P-903 ON
93,7/17/2023,16:43:54,BTEX Skid Bypass Alarm
94,7/18/2023,17:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
95,7/19/2023,18:43:54,Pump P-903 ON
96,7/20/2023,19:43:54,BTEX Skid Bypass Alarm
97,7/21/2023,20:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
98,7/22/2023,21:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
99,7/23/2023,22:43:54,Pump P-903 ON
100,7/24/2023,23:43:54,Pump P-903 ON
101,7/25/2023,0:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
102,7/26/2023,1:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
103,7/27/2023,2:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
104,7/28/2023,3:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
105,7/29/2023,4:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
106,7/30/2023,5:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
107,7/30/2023,6:43:54,Pump P-903 ON
108,7/30/2023,7:43:54,BTEX Skid Bypass Alarm
109,7/30/2023,8:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
110,7/30/2023,9:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
111,7/30/2023,10:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
112,7/30/2023,11:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
113,7/31/2023,12:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
114,8/1/2023,13:43:54,BTEX Skid Bypass Alarm
115,8/2/2023,14:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
116,8/3/2023,15:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
117,8/4/2023,16:43:54,Pump P-903 ON
118,8/5/2023,17:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
119,8/6/2023,18:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
120,8/7/2023,19:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
121,8/8/2023,20:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
122,8/9/2023,21:43:54,Pump P-903 ON
123,8/10/2023,22:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
124,8/11/2023,23:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
125,8/12/2023,0:43:54,Pump P-903 ON
126,8/13/2023,1:43:54,Pump P-903 ON
127,8/14/2023,2:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
128,8/15/2023,3:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
129,8/16/2023,4:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
130,8/17/2023,5:43:54,Pump P-903 ON
131,8/18/2023,6:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
132,8/19/2023,7:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
133,8/20/2023,8:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
134,8/21/2023,9:43:54,Pump P-903 ON
135,8/22/2023,10:43:54,BTEX Skid Bypass Alarm
136,8/23/2023,11:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
137,8/24/2023,12:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
138,8/25/2023,13:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
139,9/1/2023,14:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
140,9/1/2023,15:43:54,Pump P-903 ON
141,9/1/2023,16:43:54,BTEX Skid Bypass Alarm
142,9/1/2023,17:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
143,9/1/2023,18:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
144,9/1/2023,19:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
145,9/1/2023,20:43:54,Pump P-903 ON
146,10/2/2023,21:43:54,Pump P-903 ON
147,12/12/2023,22:43:54,BTEX Skid Bypass Alarm
148,12/12/2023,23:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
149,12/12/2023,0:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
150,1/12/2024,1:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
151,1/13/2024,2:43:54,Pump P-903 ON
152,1/14/2024,3:43:54,BTEX Skid Bypass Alarm
153,1/15/2024,4:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
154,1/16/2024,5:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
155,1/17/2024,6:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
156,1/18/2024,7:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
157,1/19/2024,8:43:54,Pump P-903 ON
158,1/20/2024,9:43:54,BTEX Skid Bypass Alarm
159,1/21/2024,10:43:54,Pump P-903 ON
160,1/22/2024,11:43:54,BTEX Skid Bypass Alarm
161,1/23/2024,12:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
162,1/24/2024,13:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
163,1/25/2024,14:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
164,1/26/2024,15:43:54,Pump P-903 ON
165,1/27/2024,16:43:54,BTEX Skid Bypass Alarm
166,1/28/2024,17:43:54,Pump P-903 ON
167,1/29/2024,18:43:54,BTEX Skid Bypass Alarm
168,1/30/2024,19:43:54,BTEX Skid Bypass Alarm
169,1/31/2024,20:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
170,2/1/2024,21:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
171,2/2/2024,22:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
172,2/3/2024,23:43:54,Pump P-903 ON
173,2/4/2024,0:43:54,BTEX Skid Bypass Alarm
174,2/5/2024,1:43:54,Pump P-903 ON
175,2/6/2024,2:43:54,BTEX Skid Bypass Alarm
176,2/7/2024,3:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
177,2/7/2024,4:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
178,2/7/2024,5:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
